Title,Rating,Votes,Duration,Genre
The Tiger's Apprentice,5.7,2,84.0,Action
Darkness of Man,4.8,3,109.0,Action
Bougainvillea,6.4,3,138.0,Action
Outlaw,5.2,919,82.0,Action
The Clean Up Crew,4.1,1,95.0,Action
Arena Wars,4.9,2,96.0,Action
Fighter,6.2,52,166.0,Action
Panda Plan,5.1,1,99.0,Action
Yolo,6.9,3,129.0,Action
Lights Out,4.9,1,90.0,Action
The Prosecutor,6.7,1,117.0,Action
Cloud,6.3,989,124.0,Action
A Legend,4.7,880,129.0,Action
Article 370,7.8,25,158.0,Action
Operation Blood Hunt,3.4,477,93.0,Action
Freedom,5.9,1,110.0,Action
Simarik,6.4,2,111.0,Action
Agent Recon,2.4,668,85.0,Action
Angels Fallen: Warriors of Peace,4.9,5,103.0,Action
Dan Da Dan: First Encounter,8.2,2,83.0,Action
City Hunter,6.3,5,102.0,Action
One Fast Move,5.0,2,108.0,Action
Crosspoint,6.8,39,100.0,Action
Rifle Club,7.0,4,113.0,Action
Karma,8.0,1,167.0,Action
Sunray: Fallen Soldier,4.3,618,115.0,Action
Striking Rescue,5.6,381,106.0,Action
Wynonna Earp: Vengeance,5.6,1,96.0,Action
Paradox Effect,6.0,8,87.0,Action
Die Hart 2: Die Harter,4.3,5,92.0,Action
The Last Ronin,4.8,564,115.0,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5,94.0,Action
Utopia,3.6,357,91.0,Action
Sixty Minutes,5.7,5,88.0,Action
Snow White and the Seven Samurai,3.2,284,88.0,Action
Murder Company,3.7,1,86.0,Action
The Last Kumite,4.6,2,105.0,Action
Latency,4.2,2,94.0,Action
The Lost Tiger,7.8,44,90.0,Action
Drive Back,4.7,296,94.0,Action
Alien: Rubicon,2.4,335,86.0,Action
Golden Kamuy,6.3,2,127.0,Action
The Family Star,5.4,5,159.0,Action
How to Rob a Bank,6.6,4,88.0,Action
Hijack 1971,6.8,3,100.0,Action
Fight Another Day,5.0,341,97.0,Action
Jacob Tyler,4.3,54,133.0,Action
Death Whisperer 2,6.4,1,110.0,Action
Nice Girls,4.2,1,92.0,Action
Continental Split,3.5,543,88.0,Action
Alien Country,4.4,359,96.0,Action
Agents,3.4,923,82.0,Action
Heart of the Hunter,4.7,2,105.0,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8,104.0,Action
Wanted Man,4.8,2,85.0,Action
Purushothamudu,5.1,2,120.0,Action
72 Hours,4.1,284,87.0,Action
Murder at Hollow Creek,4.1,82,,Action
Vettaiyan,7.0,39,163.0,Action
12 to Midnight,3.6,282,96.0,Action
London Calling,7.8,20,109.0,Action
The Hangman,3.3,996,92.0,Action
Terminator: Skynet Rising,6.8,263,88.0,Action
Handsome Guys,6.5,796,101.0,Action
Revolver,5.4,838,114.0,Action
Zero,6.1,40,88.0,Action
Troubleshooters,6.7,408,110.0,Action
Guntur Kaaram,5.4,25,159.0,Action
Toofan,7.3,7,145.0,Action
The Greatest of All Time,5.7,22,183.0,Action
(Pri)sons,5.1,267,100.0,Action
Don't Mess with Grandma,6.0,150,81.0,Action
Roadkill,3.7,677,90.0,Action
The Lockdown,4.3,603,117.0,Action
Max,7.1,3,132.0,Action
Thangalaan,6.6,6,156.0,Action
Big Rage,3.6,163,115.0,Action
WWII: Operation Phoenix,6.3,69,106.0,Action
Young Lion of the West,5.2,108,93.0,Action
Chandu Champion,7.8,34,142.0,Action
Ferry 2,5.6,3,94.0,Action
The Last Front,5.5,606,98.0,Action
War of the Worlds: Extinction,3.0,198,84.0,Action
Exorcism Chronicles: The Beginning,7.2,94,85.0,Action
Agni,7.3,15,122.0,Action
Spiders on a Plane,5.2,370,78.0,Action
