Title,Rating,Votes,Duration,Genre
115. Dominique,5.3, (2.2K),1h 40m,Action
"116. I, the Executioner",6.3, (1.7K),1h 58m,Action
117. The Wages of Fear,4.6, (4.1K),1h 44m,Action
118. Devara Part 1,6.0, (20K),2h 56m,Action
119. The Fix,4.6, (1.2K),1h 38m,Action
120. Code 8: Part II,5.7, (16K),1h 40m,Action
121. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Action
122. Jigra,6.0, (23K),2h 33m,Action
123. Singham Again,4.8, (75K),2h 24m,Action
124. Joe Baby,7.6, (29),1h 26m,Action
125. Operation Undead,4.6, (394),1h 50m,Action
126. The Roundup: Punishment,6.6, (5.2K),1h 49m,Action
127. Viduthalai Part 2,7.9, (16K),2h 50m,Action
128. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Action
129. Escape,6.4, (2K),1h 34m,Action
130. Badland Hunters,5.9, (12K),1h 47m,Action
131. Life After Fighting,6.4, (2K),2h 6m,Action
132. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,Action
133. Elyas,6.1, (1.3K),1h 45m,Action
134. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Action
135. The Quiet Ones,6.4, (643),1h 50m,Action
136. My Hero Academia: You're Next,7.0, (2K),1h 50m,Action
137. Kill Em All 2,4.1, (1.3K),1h 28m,Action
138. Officer Black Belt,6.8, (8.1K),1h 48m,Action
139. One More Shot,5.4, (3.6K),1h 43m,Action
140. Pani,6.9, (2.9K),2h 23m,Action
141. Hellhound,4.3, (501),1h 43m,Action
142. 11 Rebels,6.2, (350),2h 35m,Action
143. Harbin,6.4, (551),1h 48m,Action
144. Ultraman: Rising,6.9, (6.3K),1h 57m,Action
145. The Courier,6.0, (4.4K),1h 41m,Action
146. The Twisters,2.6, (324),1h 26m,Action
147. Duchess,4.6, (1.3K),1h 54m,Action
148. Air Force One Down,4.4, (2.8K),1h 24m,Action
149. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Action
150. Darkness of Man,4.8, (3.1K),1h 49m,Action
151. Bougainvillea,6.4, (3.1K),2h 18m,Action
152. Outlaw,5.2, (919),1h 22m,Action
153. The Clean Up Crew,4.1, (1.1K),1h 35m,Action
154. Arena Wars,4.9, (2K),1h 36m,Action
155. Fighter,6.2, (52K),2h 46m,Action
156. Panda Plan,5.1, (1.2K),1h 39m,Action
157. Yolo,6.9, (3.7K),2h 9m,Action
158. Lights Out,4.9, (1.8K),1h 30m,Action
159. The Prosecutor,6.7, (1.6K),1h 57m,Action
160. Cloud,6.3, (989),2h 4m,Action
161. A Legend,4.7, (880),2h 9m,Action
162. Article 370,7.8, (25K),2h 38m,Action
163. Operation Blood Hunt,3.4, (477),1h 33m,Action
164. Freedom,5.9, (1.4K),1h 50m,Action
165. Simarik,6.4, (2.5K),1h 51m,Action
166. Agent Recon,2.4, (668),1h 25m,Action
167. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Action
168. Dan Da Dan: First Encounter,8.2, (2.7K),1h 23m,Action
169. City Hunter,6.3, (5.6K),1h 42m,Action
170. One Fast Move,5.0, (2.2K),1h 48m,Action
171. Crosspoint,6.8, (39),1h 40m,Action
172. Rifle Club,7.0, (4.1K),1h 53m,Action
173. Karma,8.0, (1.4K),2h 47m,Action
174. Sunray: Fallen Soldier,4.3, (618),1h 55m,Action
175. Striking Rescue,5.6, (381),1h 46m,Action
176. Wynonna Earp: Vengeance,5.6, (1.5K),1h 36m,Action
177. Paradox Effect,6.0, (8.6K),1h 27m,Action
178. Die Hart 2: Die Harter,4.3, (5.5K),1h 32m,Action
179. The Last Ronin,4.8, (564),1h 55m,Action
180. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.3K),1h 34m,Action
181. Utopia,3.6, (357),1h 31m,Action
182. Sixty Minutes,5.7, (5.1K),1h 28m,Action
183. Snow White and the Seven Samurai,3.2, (284),1h 28m,Action
184. Murder Company,3.7, (1.5K),1h 26m,Action
185. The Last Kumite,4.6, (2.3K),1h 45m,Action
186. Latency,4.2, (2.4K),1h 34m,Action
187. The Lost Tiger,7.8, (44),1h 30m,Action
188. Drive Back,4.7, (296),1h 34m,Action
189. Alien: Rubicon,2.4, (335),1h 26m,Action
190. Golden Kamuy,6.3, (2.5K),2h 7m,Action
191. The Family Star,5.4, (5.4K),2h 39m,Action
192. How to Rob a Bank,6.6, (4.2K),1h 28m,Action
193. Hijack 1971,6.8, (3.3K),1h 40m,Action
194. Fight Another Day,5.0, (341),1h 37m,Action
195. Jacob Tyler,4.3, (54),2h 13m,Action
196. Death Whisperer 2,6.4, (1.3K),1h 50m,Action
197. Nice Girls,4.2, (1.2K),1h 32m,Action
198. Continental Split,3.5, (543),1h 28m,Action
199. Alien Country,4.4, (359),1h 36m,Action
200. Agents,3.4, (923),1h 22m,Action
201. Heart of the Hunter,4.7, (2.1K),1h 45m,Action
202. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.4K),1h 44m,Action
203. Wanted Man,4.8, (2.6K),1h 25m,Action
204. Purushothamudu,5.1, (2.2K),2h,Action
205. 72 Hours,4.1, (284),1h 27m,Action
206. Murder at Hollow Creek,4.1, (82),N/A,Action
207. Vettaiyan,7.0, (39K),2h 43m,Action
208. 12 to Midnight,3.6, (282),1h 36m,Action
209. London Calling,7.8, (20),1h 49m,Action
210. The Hangman,3.3, (996),1h 32m,Action
211. Terminator: Skynet Rising,6.8, (263),1h 28m,Action
212. Handsome Guys,6.5, (796),1h 41m,Action
213. Revolver,5.4, (838),1h 54m,Action
214. Zero,6.1, (40),1h 28m,Action
215. Troubleshooters,6.7, (408),1h 50m,Action
216. Guntur Kaaram,5.4, (25K),2h 39m,Action
217. Toofan,7.3, (7.4K),2h 25m,Action
218. The Greatest of All Time,5.7, (22K),3h 3m,Action
219. (Pri)sons,5.1, (267),1h 40m,Action
220. Don't Mess with Grandma,6.0, (150),1h 21m,Action
221. Roadkill,3.7, (677),1h 30m,Action
222. The Lockdown,4.3, (603),1h 57m,Action
223. Max,7.1, (3.3K),2h 12m,Action
224. Thangalaan,6.6, (6.6K),2h 36m,Action
225. Big Rage,3.6, (163),1h 55m,Action
226. WWII: Operation Phoenix,6.3, (69),1h 46m,Action
227. Young Lion of the West,5.2, (108),1h 33m,Action
228. Chandu Champion,7.8, (34K),2h 22m,Action
229. Ferry 2,5.6, (3.7K),1h 34m,Action
230. The Last Front,5.5, (606),1h 38m,Action
231. War of the Worlds: Extinction,3.0, (198),1h 24m,Action
232. Exorcism Chronicles: The Beginning,7.2, (94),1h 25m,Action
233. Agni,7.3, (15K),2h 2m,Action
234. Spiders on a Plane,5.2, (370),1h 18m,Action
235. Escape from the 21st Century,6.5, (850),1h 38m,Action
"236. Love, Courage and the Battle of Bushy Run",4.9, (178),1h 53m,Action
237. Khadaan,7.2, (2.1K),2h 17m,Action
238. A.R.M,7.1, (8.6K),2h 30m,Action
239. Raayan,6.5, (11K),2h 25m,Action
240. Devil's Knight,5.3, (793),1h 30m,Action
